cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=10MB|R=50|alpha=0.5,Centralized,17,3287835246,10MB,0.5,50,8.847458424046636,8.847458424046636,10485760,1.0,4.194304,0,1,4,ok,8.847952127456665,
Dpd=10MB|R=50|alpha=0.5,FL,18,2929487569,10MB,0.5,50,41.636936711962335,41.63671302597504,20000000,0.5,4.194304,0,50,4,ok,41.6371693611145,
Dpd=10MB|R=50|alpha=0.5,Centralized,18,2929487569,10MB,0.5,50,8.848635303089395,8.848635303089395,10485760,1.0,4.194304,0,1,4,ok,8.849095344543457,
Dpd=10MB|R=50|alpha=0.5,FL,19,3697470436,10MB,0.5,50,41.635089532937855,41.63485519972164,20000000,0.5,4.194304,0,50,4,ok,41.635332107543945,
Dpd=10MB|R=50|alpha=0.5,Centralized,19,3697470436,10MB,0.5,50,8.851147860987112,8.851147860987112,10485760,1.0,4.194304,0,1,4,ok,8.851638317108154,
Dpd=10MB|R=5|alpha=1.0,FL,0,1300274150,10MB,1.0,5,4.202435979968868,4.2022913441760466,2000000,0.5,8.388608,1,5,4,ok,4.202676057815552,
Dpd=10MB|R=5|alpha=1.0,Centralized,0,1300274150,10MB,1.0,5,8.846877550007775,8.846877550007775,10485760,1.0,8.388608,0,1,4,ok,8.847369194030762,
Dpd=10MB|R=5|alpha=1.0,FL,1,3214758204,10MB,1.0,5,4.202859940007329,4.202712901867926,2000000,0.5,8.388608,1,5,4,ok,4.203105211257935,
Dpd=10MB|R=5|alpha=1.0,Centralized,1,3214758204,10MB,1.0,5,8.848013201029971,8.848013201029971,10485760,1.0,8.388608,0,1,4,ok,8.848487854003906,
Dpd=10MB|R=5|alpha=1.0,FL,2,3634970761,10MB,1.0,5,4.202827516011894,4.20265449595172,2000000,0.5,8.388608,1,5,4,ok,4.203088760375977,
Dpd=10MB|R=5|alpha=1.0,Centralized,2,3634970761,10MB,1.0,5,8.847329396987334,8.847329396987334,10485760,1.0,8.388608,0,1,4,ok,8.8478262424469,
Dpd=10MB|R=5|alpha=1.0,FL,3,418459299,10MB,1.0,5,4.202930046943948,4.202766722068191,2000000,0.5,8.388608,1,5,4,ok,4.203169822692871,
Dpd=10MB|R=5|alpha=1.0,Centralized,3,418459299,10MB,1.0,5,8.847588089061901,8.847588089061901,10485760,1.0,8.388608,0,1,4,ok,8.848082304000854,
Dpd=10MB|R=5|alpha=1.0,FL,4,1560448344,10MB,1.0,5,4.2025238699279726,4.202380404807627,2000000,0.5,8.388608,1,5,4,ok,4.202754735946655,
Dpd=10MB|R=5|alpha=1.0,Centralized,4,1560448344,10MB,1.0,5,8.849745391053148,8.849745391053148,10485760,1.0,8.388608,0,1,4,ok,8.850232124328613,
Dpd=10MB|R=5|alpha=1.0,FL,5,3128475809,10MB,1.0,5,4.204380251001567,4.204230451956391,2000000,0.5,8.388608,1,5,4,ok,4.2046144008636475,
Dpd=10MB|R=5|alpha=1.0,Centralized,5,3128475809,10MB,1.0,5,8.847304812981747,8.847304812981747,10485760,1.0,8.388608,0,1,4,ok,8.847774267196655,
Dpd=10MB|R=5|alpha=1.0,FL,6,1647711861,10MB,1.0,5,4.203038414008915,4.202895627939142,2000000,0.5,8.388608,1,5,4,ok,4.203288316726685,
Dpd=10MB|R=5|alpha=1.0,Centralized,6,1647711861,10MB,1.0,5,8.846437436994165,8.846437436994165,10485760,1.0,8.388608,0,1,4,ok,8.846904277801514,
Dpd=10MB|R=5|alpha=1.0,FL,7,2626066846,10MB,1.0,5,4.202734880964272,4.202585526858456,2000000,0.5,8.388608,1,5,4,ok,4.202989339828491,
Dpd=10MB|R=5|alpha=1.0,Centralized,7,2626066846,10MB,1.0,5,8.85067211999558,8.85067211999558,10485760,1.0,8.388608,0,1,4,ok,8.85115361213684,
Dpd=10MB|R=5|alpha=1.0,FL,8,1948035985,10MB,1.0,5,4.201516953995451,4.20137557212729,2000000,0.5,8.388608,1,5,4,ok,4.201754331588745,
Dpd=10MB|R=5|alpha=1.0,Centralized,8,1948035985,10MB,1.0,5,8.846617437899113,8.846617437899113,10485760,1.0,8.388608,0,1,4,ok,8.847105503082275,
Dpd=10MB|R=5|alpha=1.0,FL,9,1989566704,10MB,1.0,5,4.202731685014442,4.202568782959133,2000000,0.5,8.388608,1,5,4,ok,4.202979803085327,
Dpd=10MB|R=5|alpha=1.0,Centralized,9,1989566704,10MB,1.0,5,8.850002135965042,8.850002135965042,10485760,1.0,8.388608,0,1,4,ok,8.850495100021362,
Dpd=10MB|R=5|alpha=1.0,FL,10,3022414048,10MB,1.0,5,4.203080001985654,4.2029343080939725,2000000,0.5,8.388608,1,5,4,ok,4.203321695327759,
Dpd=10MB|R=5|alpha=1.0,Centralized,10,3022414048,10MB,1.0,5,8.848694458021782,8.848694458021782,10485760,1.0,8.388608,0,1,4,ok,8.849169492721558,
Dpd=10MB|R=5|alpha=1.0,FL,11,417543845,10MB,1.0,5,4.202748975018039,4.202601709868759,2000000,0.5,8.388608,1,5,4,ok,4.2029969692230225,
Dpd=10MB|R=5|alpha=1.0,Centralized,11,417543845,10MB,1.0,5,8.8457781720208,8.8457781720208,10485760,1.0,8.388608,0,1,4,ok,8.846270084381104,
Dpd=10MB|R=5|alpha=1.0,FL,12,2911555030,10MB,1.0,5,4.202931549050845,4.202789401984774,2000000,0.5,8.388608,1,5,4,ok,4.203183889389038,
Dpd=10MB|R=5|alpha=1.0,Centralized,12,2911555030,10MB,1.0,5,8.846408986020833,8.846408986020833,10485760,1.0,8.388608,0,1,4,ok,8.846912384033203,
Dpd=10MB|R=5|alpha=1.0,FL,13,2167893874,10MB,1.0,5,4.202079472946934,4.201935759047046,2000000,0.5,8.388608,1,5,4,ok,4.202336311340332,
Dpd=10MB|R=5|alpha=1.0,Centralized,13,2167893874,10MB,1.0,5,8.847945251036435,8.847945251036435,10485760,1.0,8.388608,0,1,4,ok,8.848501205444336,
Dpd=10MB|R=5|alpha=1.0,FL,14,4038864254,10MB,1.0,5,4.20200605597347,4.201861338922754,2000000,0.5,8.388608,1,5,4,ok,4.202252388000488,
Dpd=10MB|R=5|alpha=1.0,Centralized,14,4038864254,10MB,1.0,5,8.848495222977363,8.848495222977363,10485760,1.0,8.388608,0,1,4,ok,8.849004983901978,
Dpd=10MB|R=5|alpha=1.0,FL,15,89551574,10MB,1.0,5,4.201616829959676,4.201463205041364,2000000,0.5,8.388608,1,5,4,ok,4.2018537521362305,
Dpd=10MB|R=5|alpha=1.0,Centralized,15,89551574,10MB,1.0,5,8.845601388020441,8.845601388020441,10485760,1.0,8.388608,0,1,4,ok,8.846092700958252,
Dpd=10MB|R=5|alpha=1.0,FL,16,3581771270,10MB,1.0,5,4.202671298990026,4.2025235870387405,2000000,0.5,8.388608,1,5,4,ok,4.202919006347656,
